image,label
gg (410)_glioma_tumor.jpg,0
gg (537)_glioma_tumor.jpg,0
gg (454)_glioma_tumor.jpg,0
gg (457)_glioma_tumor.jpg,0
gg (765)_glioma_tumor.jpg,0
gg (768)_glioma_tumor.jpg,0
gg (526)_glioma_tumor.jpg,0
gg (171)_glioma_tumor.jpg,0
gg (576)_glioma_tumor.jpg,0
gg (83)_glioma_tumor.jpg,0
gg (814)_glioma_tumor.jpg,0
gg (640)_glioma_tumor.jpg,0
gg (322)_glioma_tumor.jpg,0
gg (568)_glioma_tumor.jpg,0
gg (824)_glioma_tumor.jpg,0
gg (744)_glioma_tumor.jpg,0
gg (636)_glioma_tumor.jpg,0
gg (307)_glioma_tumor.jpg,0
gg (498)_glioma_tumor.jpg,0
gg (572)_glioma_tumor.jpg,0
gg (87)_glioma_tumor.jpg,0
gg (427)_glioma_tumor.jpg,0
gg (349)_glioma_tumor.jpg,0
gg (514)_glioma_tumor.jpg,0
gg (489)_glioma_tumor.jpg,0
gg (194)_glioma_tumor.jpg,0
gg (816)_glioma_tumor.jpg,0
gg (468)_glioma_tumor.jpg,0
gg (641)_glioma_tumor.jpg,0
gg (331)_glioma_tumor.jpg,0
gg (252)_glioma_tumor.jpg,0
gg (506)_glioma_tumor.jpg,0
gg (225)_glioma_tumor.jpg,0
gg (813)_glioma_tumor.jpg,0
gg (706)_glioma_tumor.jpg,0
gg (759)_glioma_tumor.jpg,0
gg (49)_glioma_tumor.jpg,0
gg (563)_glioma_tumor.jpg,0
gg (602)_glioma_tumor.jpg,0
gg (392)_glioma_tumor.jpg,0
gg (453)_glioma_tumor.jpg,0
gg (224)_glioma_tumor.jpg,0
gg (809)_glioma_tumor.jpg,0
gg (26)_glioma_tumor.jpg,0
gg (127)_glioma_tumor.jpg,0
gg (574)_glioma_tumor.jpg,0
gg (382)_glioma_tumor.jpg,0
gg (799)_glioma_tumor.jpg,0
gg (216)_glioma_tumor.jpg,0
gg (11)_glioma_tumor.jpg,0
gg (821)_glioma_tumor.jpg,0
gg (277)_glioma_tumor.jpg,0
gg (115)_glioma_tumor.jpg,0
gg (485)_glioma_tumor.jpg,0
gg (810)_glioma_tumor.jpg,0
gg (302)_glioma_tumor.jpg,0
gg (13)_glioma_tumor.jpg,0
gg (580)_glioma_tumor.jpg,0
gg (109)_glioma_tumor.jpg,0
gg (152)_glioma_tumor.jpg,0
gg (288)_glioma_tumor.jpg,0
gg (595)_glioma_tumor.jpg,0
gg (504)_glioma_tumor.jpg,0
gg (598)_glioma_tumor.jpg,0
gg (308)_glioma_tumor.jpg,0
gg (715)_glioma_tumor.jpg,0
gg (63)_glioma_tumor.jpg,0
gg (305)_glioma_tumor.jpg,0
gg (564)_glioma_tumor.jpg,0
gg (559)_glioma_tumor.jpg,0
gg (358)_glioma_tumor.jpg,0
gg (287)_glioma_tumor.jpg,0
gg (126)_glioma_tumor.jpg,0
gg (350)_glioma_tumor.jpg,0
gg (265)_glioma_tumor.jpg,0
gg (734)_glioma_tumor.jpg,0
gg (25)_glioma_tumor.jpg,0
gg (64)_glioma_tumor.jpg,0
gg (116)_glioma_tumor.jpg,0
gg (818)_glioma_tumor.jpg,0
gg (525)_glioma_tumor.jpg,0
gg (339)_glioma_tumor.jpg,0
gg (199)_glioma_tumor.jpg,0
gg (1)_glioma_tumor.jpg,0
gg (377)_glioma_tumor.jpg,0
gg (132)_glioma_tumor.jpg,0
gg (254)_glioma_tumor.jpg,0
gg (781)_glioma_tumor.jpg,0
gg (772)_glioma_tumor.jpg,0
gg (571)_glioma_tumor.jpg,0
gg (326)_glioma_tumor.jpg,0
gg (100)_glioma_tumor.jpg,0
gg (139)_glioma_tumor.jpg,0
gg (425)_glioma_tumor.jpg,0
gg (214)_glioma_tumor.jpg,0
gg (520)_glioma_tumor.jpg,0
gg (150)_glioma_tumor.jpg,0
